col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,Lables
0.015046667,-0.036375093,0.001905926,0.009897778,-0.002099537,-0.004698519,-0.001359352,-0.047227315,-0.003201852,-0.001684074,-0.004312685,-0.009276667,-2.96E-05,-0.037467963,-0.00161,-0.000434815,-0.003241111,-0.008315741,0.001234074,-0.037053704,-0.000161481,0.0009125,-0.001868148,-0.006611481,-0.000195648,-0.034964444,-0.001518426,-0.000520741,-0.00310037,-0.007800556,-0.000212685,-0.04222,-0.001508519,-0.000837963,-0.003312222,-0.008979259,Empty
0.014864444,-0.025641481,0.000555556,0.009016667,-0.003691759,-0.009908519,-0.002074907,-0.039328148,-0.004374815,-0.002405556,-0.005950093,-0.01327,-0.000774815,-0.039137222,-0.001874167,-0.000722222,-0.004831481,-0.012001574,0.001157407,-0.042882222,-0.000365185,0.000560833,-0.003823704,-0.02070037,-0.00014287,-0.040034815,-0.001701019,-0.00074463,-0.005776296,-0.022325,-0.000424444,-0.044184352,-0.001835926,-0.001237222,-0.006526667,-0.024351481,Empty
0.014575926,-0.03467537,0.001457407,0.009191852,-0.006053981,-0.021202222,-0.001728981,-0.038164074,-0.003783148,-0.002471111,-0.008468981,-0.015304167,-0.000195185,-0.035468333,-0.002017222,-0.000731852,-0.006259259,-0.009533704,0.001437593,-0.035101481,-0.000207037,0.000800278,-0.004438889,-0.010295185,0.000104074,-0.034657778,-0.001500278,-0.000524907,-0.005671111,-0.011907222,-3.96E-05,-0.036228519,-0.001696667,-0.00099463,-0.005901667,-0.010004815,Empty
0.015197407,-0.023801204,0.001723704,0.009656667,-0.004681111,-0.007960093,-0.001182315,-0.030513333,-0.003274815,-0.001817778,-0.00667713,-0.01121,0.000264074,-0.029962778,-0.001786111,-0.000691481,-0.005413333,-0.009724815,0.001726204,-0.030147778,-7.78E-06,0.001088611,-0.003535926,-0.005244815,0.000458519,-0.030568889,-0.001181389,-0.000151481,-0.004623333,-0.002757222,0.000224444,-0.034990185,-0.001274444,-0.000644259,-0.004625556,-0.001565556,Empty
0.015594074,-0.020831759,0.001765926,0.009854444,-0.003999259,0.000386574,-0.000746759,-0.027566296,-0.002858981,-0.00139963,-0.005915278,-0.002191111,0.000643704,-0.025452407,-0.001238148,-0.000237593,-0.004905556,-0.000942963,0.002304815,-0.023735926,0.000153704,0.001250278,-0.003498148,0.000873704,0.000672963,-0.017990741,-0.001007685,4.33E-05,-0.004554167,-0.000151667,0.000576667,-0.02354713,-0.000865926,-0.000288333,-0.004808056,-1.89E-05,Empty
0.015871481,-0.00957963,0.002634537,0.010347407,-0.004071111,0.001565463,-0.000330833,-0.027218889,-0.002374815,-0.001154815,-0.005995278,-0.001444444,0.000868889,-0.037413148,-0.000915556,-2.48E-05,-0.006046667,-0.000422593,0.002456481,-0.023003704,0.000722222,0.001647778,-0.004943704,0.001601852,0.001041111,-0.02459,-0.000629167,0.000141111,-0.005603056,0.000286481,0.000802963,-0.020821574,-0.000728889,-0.000298704,-0.008498889,0.000238148,Empty
0.016062222,-0.010309259,0.002788704,0.010422593,-0.003407037,0.001833241,-0.000242685,-0.021814815,-0.002206759,-0.001057037,-0.004700463,-0.001121111,0.001058426,-0.013510556,-0.00071963,0.000266852,-0.003577778,2.96E-05,0.002684815,-0.001931481,0.000981481,0.001763056,-0.001829259,0.001761481,0.001218519,-0.003052778,-0.000303981,0.000421852,-0.003078056,0.00060463,0.000919259,-0.003200463,-0.000471852,-0.000145,-0.003114444,0.000391667,Empty
0.016248519,0.004686296,0.002989537,0.010561481,-0.002289259,0.002004352,-0.000221574,-0.004965926,-0.002123148,-0.00098,-0.00450787,-0.001035926,0.001088981,-0.003444259,-0.000700741,0.000179907,-0.003452222,7.78E-06,0.002584815,-0.001927407,0.001025926,0.001762593,-0.001703981,0.001916296,0.001122222,-0.0030325,-0.000343981,0.000344815,-0.002968056,0.000516111,0.000788148,-0.003325185,-0.00063,-0.000302407,-0.00313963,0.000420278,Empty
0.016151852,0.004547407,0.002819815,0.010404444,-0.002325926,0.002014352,-0.000293426,-0.004806296,-0.00215037,-0.001074167,-0.004314537,-0.001052593,0.001061481,-0.003416111,-0.000791481,0.000232963,-0.003400741,0.000148519,0.002692037,-0.001701852,0.000988889,0.001814444,-0.001510093,0.00212037,0.001296667,-0.002943611,-0.000244722,0.000354074,-0.002768611,0.000626481,0.00086963,-0.003284074,-0.0005525,-0.00022463,-0.002836296,0.00045,Empty
0.016155185,0.004568519,0.002882037,0.010490741,-0.002149259,0.001982407,-0.000313056,-0.004861481,-0.00226,-0.001017222,-0.004264167,-0.001091481,0.00094787,-0.003593519,-0.000724074,0.000100741,-0.003421111,8.33E-05,0.002577037,-0.001829537,0.000730741,0.001664815,-0.001698704,0.001838148,0.001035556,-0.0031825,-0.000469167,0.000175185,-0.002803056,0.000572037,0.000721481,-0.003344815,-0.000713889,-0.000247963,-0.002848148,0.000141667,Empty
0.016121481,0.004666667,0.002838704,0.010467778,-0.002216667,0.001358519,-0.000304722,-0.004925556,-0.00227037,-0.001121667,-0.004322315,-0.001657407,0.000864537,-0.00368463,-0.000867037,-5.48E-05,-0.003447037,-0.000395185,0.00244963,-0.002074537,0.000753704,0.001498889,-0.001754815,0.001450741,0.000988889,-0.003410556,-0.000678056,0.000117778,-0.002978889,0.000128056,0.000607778,-0.003580741,-0.00078,-0.000393519,-0.003032222,3.36E-05,Empty
0.015861111,0.004460741,0.002619815,0.010135926,-0.002466296,0.00159,-0.000454167,-0.005227778,-0.002398889,-0.001256389,-0.004378241,-0.001372963,0.000817315,-0.003813519,-0.00103037,-0.000173333,-0.00351,-0.000392963,0.002423704,-0.002153426,0.000717407,0.001426667,-0.001760926,0.001355556,0.00086037,-0.003394167,-0.000731389,-1.59E-05,-0.00300963,0.000194444,0.000704444,-0.003585926,-0.000742222,-0.000359444,-0.002967778,0.000158333,Empty
0.016028148,0.004381852,0.002805556,0.010290833,-0.002404074,0.001765926,-0.000398056,-0.005147037,-0.002243704,-0.001211667,-0.004520463,-0.001407778,0.000788981,-0.003898333,-0.000897407,-8.19E-05,-0.003568333,-0.000225556,0.002351852,-0.002377037,0.000777037,0.001572963,-0.00188537,0.001474815,0.000894074,-0.003493704,-0.000583056,1.59E-05,-0.003065185,0.000281389,0.000568889,-0.003774444,-0.000802222,-0.000468333,-0.003185185,0.000196944,Empty
0.015866296,0.004315185,0.002643333,0.010189444,-0.002548519,0.001852593,-0.000483056,-0.005194444,-0.002401852,-0.001268611,-0.004686019,-0.00131,0.000691111,-0.003944722,-0.00109037,-0.000202593,-0.003856944,-0.000288519,0.002255185,-0.002435648,0.000672963,0.001273704,-0.002062593,0.001560741,0.000882222,-0.003565556,-0.000629444,-0.000162222,-0.003394444,0.000416389,0.000634444,-0.003622593,-0.000818889,-0.000418704,-0.003401852,0.000284444,Empty
0.015912778,0.004236296,0.00264037,0.010136667,-0.002818148,0.001753333,-0.000555833,-0.00527963,-0.002512593,-0.001311111,-0.005238611,-0.001247778,0.000677037,-0.003974722,-0.000964074,-0.000172222,-0.004177778,-0.00014037,0.002284815,-0.002313704,0.00079,0.001488519,-0.00234037,0.001798889,0.000977407,-0.003599259,-0.000606944,4.67E-05,-0.003545926,0.000369722,0.000655556,-0.00362963,-0.000653056,-0.000433519,-0.003585556,0.000302222,Empty
0.015941389,0.004401111,0.002829259,0.010353056,-0.002822593,0.001894444,-0.000558889,-0.005152222,-0.002406296,-0.001278148,-0.0050075,-0.001331111,0.000668148,-0.003912222,-0.001022963,-0.000203704,-0.007042222,-0.000398148,0.002313704,-0.002295093,0.000694074,0.001462593,-0.003757037,0.001511111,0.000766667,-0.003541852,-0.00064,-6.74E-05,-0.003561481,0.000174722,0.00068,-0.003728519,-0.000808889,-0.000531667,-0.003378889,4.07E-05,Empty
0.015906944,0.004360741,0.002801481,0.010314444,-0.002451852,0.00181,-0.000470278,-0.005213333,-0.002403704,-0.001236296,-0.004318056,-0.001086296,0.000683333,-0.004015278,-0.00111963,-0.000260741,-0.003426389,-0.00011037,0.002195926,-0.002466667,0.000561111,0.001367407,-0.001491111,0.00175,0.000820741,-0.003521111,-0.000731944,-1.78E-05,-0.002818889,0.000383333,0.000437778,-0.003811481,-0.000925926,-0.000538889,-0.002603333,0.000407778,Empty
